0.600	4.680	Manage Meilisearch from the FlyEnv desktop app.
5.400	8.856	Choose Meilisearch from the Search Engine section.
10.800	14.880	The Version tab lists the available Meilisearch releases.
17.200	21.016	Each release shows its version and an install action.
24.000	27.792	Select a release to download and install it locally.
32.000	36.704	FlyEnv shows download progress directly in the release list.
43.500	48.084	When the download completes, the installed release is ready to use.
57.000	60.336	Add another release from the same version list.
95.000	99.248	The Service tab lists installed versions and their local paths.
101.000	106.400	Configuration opens the Meilisearch settings in FlyEnv's built-in editor.
114.000	117.168	The Log tab displays the service output.
124.000	128.944	The Mini Dashboard opens the local Meilisearch interface in the browser.
138.000	144.840	Back in FlyEnv, installed versions, environment, and service controls stay together.
149.000	152.912	Start the selected version and confirm its running state.
157.000	161.440	The final view keeps the Meilisearch service controls within reach.
