10.200	14.712	The Version tab lists ZincSearch releases and install actions.
18.600	23.760	Install ZincSearch 0.4.10 from the release list.
26.000	32.144	Version 0.4.10 is installed while 0.4.5 downloads.
32.424	36.336	The Service tab lists installed versions and their paths.
36.616	40.240	Open the 0.4.10 folder.
41.000	44.168	Start version 0.4.10.
44.600	48.656	Configuration shows the local address and port 4080.
51.800	55.016	0.4.10 is running.
55.600	59.344	Open the local ZincSearch interface in the browser.
60.000	63.816	The local search screen opens with no data available.
70.000	74.896	Return to FlyEnv and select version 0.4.5.
75.176	79.472	Start version 0.4.5 from the service row.
80.000	84.032	The tray menu exposes a ZincSearch service toggle.
84.500	87.356	0.4.5 is running.
